Name;Definition;Img;Type
 Japan;?a country consisting of a group of islands in eastern Asia;https://pixabay.com/vi/photos/%C3%A1-ch%C3%A2u-%C3%A1-m%C3%A0u-xanh-%C4%91%E1%BA%A5t-n%C6%B0%E1%BB%9Bc-c%E1%BB%9D-21442/;Country
 Thailand;a country in South East Asia;https://pixabay.com/vi/vectors/bi%C3%AAn-gi%E1%BB%9Bi-%C4%91%E1%BA%A5t-n%C6%B0%E1%BB%9Bc-c%E1%BB%9D-%C4%91%E1%BB%8Ba-l%C3%BD-2099230/;Country
" ""Jeans""";" ""trousers made of denim (= a type of strong cotton)""";https://pixabay.com/vi/photos/m%C3%A0u-%C4%91en-c%C5%A9-l%E1%BB%8Fng-l%E1%BA%BBo-qu%E1%BA%A7n-jean-1146793/;Clothes
" ""Kimono""";"a traditional Japanese piece of clothing like a long loose dress with wide sleeves (= parts covering the arms), worn on formal occasions; a dressing gown or robe in this style";https://pixabay.com/vi/photos/th%E1%BB%9Di-trang-nh%E1%BA%ADt-b%E1%BA%A3n-kimono-1025375/;Clothes
" ""Sari""";?a long piece of cloth that is wrapped around the body and worn as the main piece of clothing by women in South Asia;https://pixabay.com/vi/photos/saree-th%E1%BB%9Di-trang-l%E1%BB%A5a-v%C3%A1y-362756/;Clothes
" ""Trousers""";a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately;https://pixabay.com/vi/photos/c%E1%BA%ADu-b%C3%A9-ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-ng%C6%B0%E1%BB%9Di-nam-3637094/;Clothes
" ""Jacket""";"a piece of clothing worn on the top half of the body over a shirt, etc. that has arms and fastens down the front; a short, light coat";https://pixabay.com/vi/photos/jacket-%C3%A1o-kho%C3%A1t-ngo%C3%A0i-b%E1%BA%B1ng-da-947395/;Clothes
" ""Dress""";a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles;https://pixabay.com/vi/photos/c%C3%B4-g%C3%A1i-v%C3%A1y-tr%E1%BA%AFng-ki%E1%BB%83u-t%C3%B3c-t%C3%B3c-1333640/;Clothes
" ""T-shirt""";an informal shirt, usually with short sleeves (= arms) no collar or buttons, or just a few buttons at the top;https://pixabay.com/vi/photos/gi%E1%BA%A3-l%E1%BA%ADp-t-shirt-gi%E1%BA%A3-m%C3%A0u-xanh-2710535/;Clothes
" ""Sweater""";a piece of clothing for the upper part of the body, made of wool or cotton, with long sleeves;https://pixabay.com/vi/photos/%C3%A1o-len-%C3%A1o-in-%E1%BA%A5n-m%C3%A0n-h%C3%ACnh-ngh%E1%BB%87-thu%E1%BA%ADt-1843619/;Clothes
" ""Sneaker""";a shoe that you wear for sports or as informal clothing;https://pixabay.com/vi/photos/gi%C3%A0y-ch%C3%A2n-sneaker-gi%C3%A0y-th%E1%BB%83-thao-1028790/;Clothes
" ""Sandal""";a type of light open shoe that is worn in warm weather. The top part consists of leather bands that fasten the sole to your foot.;https://pixabay.com/vi/photos/sandal-gi%C3%A0y-gi%C3%A0y-c%E1%BB%A7a-ph%E1%BB%A5-n%E1%BB%AF-1521473/;Clothes
" ""Forest""";a large area of land that is thickly covered with trees;https://pixabay.com/vi/photos/c%C3%A2y-con-%C4%91%C6%B0%E1%BB%9Dng-%C4%91%C6%B0%E1%BB%9Dng-m%C3%B2n-c%C5%A9-%C4%91%C6%B0%E1%BB%9Dng-2897757/;Natures
" ""Waterfall""";a place where a stream or river falls from a high place, for example over a cliff or rock;https://pixabay.com/vi/photos/triberg-th%C3%A1c-n%C6%B0%E1%BB%9Bc-r%E1%BB%ABng-%C4%91en-torrent-4984171/;Natures
" ""Desert""";?a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.;https://pixabay.com/vi/photos/sa-m%E1%BA%A1c-sahara-c%C3%A1t-c%E1%BA%A3nh-quan-kh%C3%B4-4134918/;Natures
" ""Flower"""; the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.;https://pixabay.com/vi/photos/mai-m%E1%BA%ADn-spring-flower-m%C3%B9a-xu%C3%A2n-4946160/;Natures
" ""Island""";a piece of land that is completely surrounded by water;https://pixabay.com/vi/photos/%C4%91%E1%BA%A3o-san-h%C3%B4-b%C3%A3i-bi%E1%BB%83n-c%C3%A2y-c%E1%BB%8D-k%E1%BB%B3-ngh%E1%BB%89-2178747/;Natures
" ""Lake""";a large area of water that is surrounded by land;https://pixabay.com/vi/photos/hallstatt-n%C3%BAi-%C3%A1o-lake-n%C3%BAi-cao-4495734/;Natures
" ""'Mountain";a very high hill, often with rocks near the top;https://pixabay.com/vi/photos/alps-%C4%91%E1%BA%A7u-n%C3%BAi-c%E1%BA%A3nh-quan-thi%C3%AAn-nhi%C3%AAn-4553488/;Natures
" ""Sunset"""; the time when the sun goes down and night begins;https://pixabay.com/vi/photos/ho%C3%A0ng-h%C3%B4n-bi%E1%BB%83n-b%E1%BA%A7u-tr%E1%BB%9Di-%C4%91%E1%BA%A1i-d%C6%B0%C6%A1ng-4376835/;Natures
" ""Moon""";" "" the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun""";https://pixabay.com/vi/photos/m%E1%BA%B7t-tr%C4%83ng-si%C3%AAu-m%E1%BA%B7t-tr%C4%83ng-tr%C4%83ng-tr%C3%B2n-5016058/;Natures
" ""Field""";" ""an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.""";https://pixabay.com/vi/photos/h%C3%A0-lan-field-ho%C3%A0ng-h%C3%B4n-n%C3%B4ng-nghi%E1%BB%87p-4530545/;Natures
